episode, tdn, tdn_sarsa
1.590000000000000000e+04,2.384701365088836011e-01,2.721138486956084512e-01
1.600000000000000000e+04,2.025692124991836651e-01,2.617408534030702949e-01
1.610000000000000000e+04,2.260150808765057084e-01,2.844371019653015864e-01
1.620000000000000000e+04,1.944512520077089912e-01,2.991999848667890038e-01
1.630000000000000000e+04,2.201261324745389658e-01,2.808966061096766498e-01
1.640000000000000000e+04,2.385030190101321002e-01,3.100565326344861816e-01
1.650000000000000000e+04,2.515745034091187438e-01,3.070255726516789574e-01
1.660000000000000000e+04,2.472908987916848655e-01,2.541021639483744265e-01
1.670000000000000000e+04,2.009726785686980488e-01,3.014137273114622650e-01
1.680000000000000000e+04,1.897393792170858906e-01,2.803262657605787300e-01
1.690000000000000000e+04,2.305348651892516476e-01,3.021627632629733662e-01
1.700000000000000000e+04,2.253814922411235822e-01,3.205110052466523252e-01
1.710000000000000000e+04,2.223575015892546303e-01,2.676712147917165163e-01
1.720000000000000000e+04,2.371337390808032908e-01,2.930459628434312069e-01
1.730000000000000000e+04,2.060381959129060081e-01,2.879804045196168727e-01
1.740000000000000000e+04,2.281263741325096350e-01,2.915029608781393722e-01
1.750000000000000000e+04,1.998470815023610236e-01,3.197629991931425497e-01
1.760000000000000000e+04,2.088628627879942079e-01,2.842231692752403838e-01
1.770000000000000000e+04,2.432669977234719338e-01,2.588835145980415420e-01
1.780000000000000000e+04,2.086035313559957693e-01,2.607183446323496634e-01
1.790000000000000000e+04,2.104443020373022444e-01,2.948847859636454793e-01
1.800000000000000000e+04,1.976974837199725610e-01,3.403516133305925506e-01
1.810000000000000000e+04,2.209256445788528589e-01,2.844552767825903605e-01
1.820000000000000000e+04,2.451241671275429523e-01,2.858571018074916870e-01
1.830000000000000000e+04,1.954158589546327596e-01,2.752075157322365073e-01
1.840000000000000000e+04,1.916433498462307150e-01,2.983169116277573085e-01
1.850000000000000000e+04,2.647670728601262402e-01,2.897973231697226204e-01
1.860000000000000000e+04,2.472524202351207845e-01,2.941468425145330468e-01
1.870000000000000000e+04,1.910745502580316335e-01,2.821149432629149190e-01
1.880000000000000000e+04,2.603558740178891773e-01,2.762387960957046196e-01
1.890000000000000000e+04,2.083171384603828280e-01,3.038211552952248540e-01
1.900000000000000000e+04,2.565812560222520133e-01,2.825632932375405360e-01
1.910000000000000000e+04,2.313236319513475026e-01,2.940490110243645927e-01
1.920000000000000000e+04,2.163513861590807830e-01,3.124010452044448938e-01
1.930000000000000000e+04,2.370463439303699404e-01,2.709037540344058081e-01
1.940000000000000000e+04,2.448801415387543978e-01,2.754449406358622787e-01
1.950000000000000000e+04,2.211468168848209070e-01,2.776277060247361317e-01
1.960000000000000000e+04,2.412638078881079451e-01,3.159409494797125184e-01
1.970000000000000000e+04,1.968786131906911652e-01,2.951648186792368844e-01
1.980000000000000000e+04,2.177552566188661887e-01,3.120560432863586642e-01
1.990000000000000000e+04,2.255941294479978099e-01,3.278231317827033364e-01
